elementwise_feature,metric,base_feature,space,dimension
cos_elem_204,cosine,dim_204,CC,204
cos_elem_2577,cosine,dim_2577,CC,2577
cos_elem_46,cosine,dim_46,CC,46
cos_elem_1731,cosine,dim_1731,CC,1731
euc_elem_1659,euclidean,dim_1659,CC,1659
cos_elem_1771,cosine,dim_1771,CC,1771
cos_elem_1963,cosine,dim_1963,CC,1963
euc_elem_747,euclidean,dim_747,CC,747
euc_elem_1284,euclidean,dim_1284,CC,1284
euc_elem_1267,euclidean,dim_1267,CC,1267
euc_elem_2939,euclidean,dim_2939,CC,2939
euc_elem_1832,euclidean,dim_1832,CC,1832
cos_elem_1225,cosine,dim_1225,CC,1225
cos_elem_3199,cosine,dim_3199,CC,3199
cos_elem_2902,cosine,dim_2902,CC,2902
euc_elem_790,euclidean,dim_790,CC,790
euc_elem_3000,euclidean,dim_3000,CC,3000
cos_elem_2311,cosine,dim_2311,CC,2311
euc_elem_3014,euclidean,dim_3014,CC,3014
cos_elem_2301,cosine,dim_2301,CC,2301
cos_elem_2347,cosine,dim_2347,CC,2347
euc_elem_463,euclidean,dim_463,CC,463
cos_elem_271,cosine,dim_271,CC,271
euc_elem_194,euclidean,dim_194,CC,194
cos_elem_1518,cosine,dim_1518,CC,1518
cos_elem_2028,cosine,dim_2028,CC,2028
euc_elem_2180,euclidean,dim_2180,CC,2180
cos_elem_2010,cosine,dim_2010,CC,2010
euc_elem_1270,euclidean,dim_1270,CC,1270
euc_elem_1565,euclidean,dim_1565,CC,1565
cos_elem_2725,cosine,dim_2725,CC,2725
cos_elem_2663,cosine,dim_2663,CC,2663
cos_elem_1177,cosine,dim_1177,CC,1177
euc_elem_2889,euclidean,dim_2889,CC,2889
cos_elem_2634,cosine,dim_2634,CC,2634
euc_elem_464,euclidean,dim_464,CC,464
cos_elem_835,cosine,dim_835,CC,835
euc_elem_735,euclidean,dim_735,CC,735
euc_elem_3088,euclidean,dim_3088,CC,3088
euc_elem_1022,euclidean,dim_1022,CC,1022
euc_elem_925,euclidean,dim_925,CC,925
euc_elem_2806,euclidean,dim_2806,CC,2806
cos_elem_1582,cosine,dim_1582,CC,1582
cos_elem_1611,cosine,dim_1611,CC,1611
euc_elem_2326,euclidean,dim_2326,CC,2326
euc_elem_2193,euclidean,dim_2193,CC,2193
cos_elem_654,cosine,dim_654,CC,654
euc_elem_1363,euclidean,dim_1363,CC,1363
euc_elem_486,euclidean,dim_486,CC,486
cos_elem_1233,cosine,dim_1233,CC,1233
cos_elem_1913,cosine,dim_1913,CC,1913
cos_elem_533,cosine,dim_533,CC,533
cos_elem_206,cosine,dim_206,CC,206
cos_elem_2409,cosine,dim_2409,CC,2409
cos_elem_1692,cosine,dim_1692,CC,1692
cos_elem_1158,cosine,dim_1158,CC,1158
euc_elem_267,euclidean,dim_267,CC,267
cos_elem_1679,cosine,dim_1679,CC,1679
cos_elem_2461,cosine,dim_2461,CC,2461
euc_elem_434,euclidean,dim_434,CC,434
euc_elem_439,euclidean,dim_439,CC,439
cos_elem_1172,cosine,dim_1172,CC,1172
cos_elem_1810,cosine,dim_1810,CC,1810
euc_elem_2249,euclidean,dim_2249,CC,2249
euc_elem_2866,euclidean,dim_2866,CC,2866
cos_elem_1863,cosine,dim_1863,CC,1863
euc_elem_3132,euclidean,dim_3132,CC,3132
euc_elem_1015,euclidean,dim_1015,CC,1015
cos_elem_112,cosine,dim_112,CC,112
euc_elem_3157,euclidean,dim_3157,CC,3157
euc_elem_1045,euclidean,dim_1045,CC,1045
euc_elem_907,euclidean,dim_907,CC,907
euc_elem_3038,euclidean,dim_3038,CC,3038
euc_elem_1087,euclidean,dim_1087,CC,1087
euc_elem_1076,euclidean,dim_1076,CC,1076
cos_elem_2554,cosine,dim_2554,CC,2554
euc_elem_920,euclidean,dim_920,CC,920
euc_elem_444,euclidean,dim_444,CC,444
euc_elem_436,euclidean,dim_436,CC,436
euc_elem_1932,euclidean,dim_1932,CC,1932
cos_elem_2427,cosine,dim_2427,CC,2427
cos_elem_2612,cosine,dim_2612,CC,2612
cos_elem_1025,cosine,dim_1025,CC,1025
cos_elem_967,cosine,dim_967,CC,967
cos_elem_926,cosine,dim_926,CC,926
cos_elem_987,cosine,dim_987,CC,987
cos_elem_2995,cosine,dim_2995,CC,2995
