elementwise_feature,metric,base_feature,space,dimension
cos_elem_2287,cosine,dim_2287,CC,2287
euc_elem_1488,euclidean,dim_1488,CC,1488
cos_elem_2790,cosine,dim_2790,CC,2790
cos_elem_1981,cosine,dim_1981,CC,1981
euc_elem_957,euclidean,dim_957,CC,957
cos_elem_2940,cosine,dim_2940,CC,2940
euc_elem_1129,euclidean,dim_1129,CC,1129
cos_elem_2366,cosine,dim_2366,CC,2366
euc_elem_2684,euclidean,dim_2684,CC,2684
cos_elem_1390,cosine,dim_1390,CC,1390
euc_elem_1641,euclidean,dim_1641,CC,1641
cos_elem_2286,cosine,dim_2286,CC,2286
euc_elem_1202,euclidean,dim_1202,CC,1202
euc_elem_784,euclidean,dim_784,CC,784
cos_elem_2931,cosine,dim_2931,CC,2931
euc_elem_1103,euclidean,dim_1103,CC,1103
cos_elem_1152,cosine,dim_1152,CC,1152
euc_elem_998,euclidean,dim_998,CC,998
cos_elem_302,cosine,dim_302,CC,302
euc_elem_2902,euclidean,dim_2902,CC,2902
cos_elem_814,cosine,dim_814,CC,814
cos_elem_780,cosine,dim_780,CC,780
euc_elem_2641,euclidean,dim_2641,CC,2641
euc_elem_1561,euclidean,dim_1561,CC,1561
cos_elem_2912,cosine,dim_2912,CC,2912
euc_elem_1351,euclidean,dim_1351,CC,1351
cos_elem_1064,cosine,dim_1064,CC,1064
euc_elem_2143,euclidean,dim_2143,CC,2143
euc_elem_1420,euclidean,dim_1420,CC,1420
cos_elem_857,cosine,dim_857,CC,857
euc_elem_1372,euclidean,dim_1372,CC,1372
cos_elem_436,cosine,dim_436,CC,436
cos_elem_998,cosine,dim_998,CC,998
cos_elem_2274,cosine,dim_2274,CC,2274
euc_elem_1214,euclidean,dim_1214,CC,1214
cos_elem_1704,cosine,dim_1704,CC,1704
euc_elem_2906,euclidean,dim_2906,CC,2906
euc_elem_2437,euclidean,dim_2437,CC,2437
euc_elem_2838,euclidean,dim_2838,CC,2838
euc_elem_3170,euclidean,dim_3170,CC,3170
cos_elem_169,cosine,dim_169,CC,169
euc_elem_1270,euclidean,dim_1270,CC,1270
cos_elem_2241,cosine,dim_2241,CC,2241
euc_elem_2795,euclidean,dim_2795,CC,2795
euc_elem_3121,euclidean,dim_3121,CC,3121
euc_elem_2337,euclidean,dim_2337,CC,2337
cos_elem_1289,cosine,dim_1289,CC,1289
euc_elem_382,euclidean,dim_382,CC,382
cos_elem_94,cosine,dim_94,CC,94
cos_elem_882,cosine,dim_882,CC,882
euc_elem_1566,euclidean,dim_1566,CC,1566
euc_elem_2516,euclidean,dim_2516,CC,2516
euc_elem_600,euclidean,dim_600,CC,600
euc_elem_55,euclidean,dim_55,CC,55
euc_elem_2931,euclidean,dim_2931,CC,2931
cos_elem_1610,cosine,dim_1610,CC,1610
euc_elem_1004,euclidean,dim_1004,CC,1004
euc_elem_654,euclidean,dim_654,CC,654
cos_elem_917,cosine,dim_917,CC,917
euc_elem_2499,euclidean,dim_2499,CC,2499
euc_elem_2991,euclidean,dim_2991,CC,2991
euc_elem_576,euclidean,dim_576,CC,576
cos_elem_2904,cosine,dim_2904,CC,2904
cos_elem_2511,cosine,dim_2511,CC,2511
euc_elem_2183,euclidean,dim_2183,CC,2183
euc_elem_3067,euclidean,dim_3067,CC,3067
cos_elem_748,cosine,dim_748,CC,748
cos_elem_756,cosine,dim_756,CC,756
cos_elem_2376,cosine,dim_2376,CC,2376
cos_elem_2355,cosine,dim_2355,CC,2355
cos_elem_722,cosine,dim_722,CC,722
euc_elem_963,euclidean,dim_963,CC,963
euc_elem_1458,euclidean,dim_1458,CC,1458
cos_elem_1022,cosine,dim_1022,CC,1022
cos_elem_738,cosine,dim_738,CC,738
euc_elem_2893,euclidean,dim_2893,CC,2893
euc_elem_1460,euclidean,dim_1460,CC,1460
euc_elem_1826,euclidean,dim_1826,CC,1826
cos_elem_2199,cosine,dim_2199,CC,2199
cos_elem_2707,cosine,dim_2707,CC,2707
cos_elem_653,cosine,dim_653,CC,653
cos_elem_667,cosine,dim_667,CC,667
