original_name,space,space_name,dimension,cc_level,cc_sublevel,cc_level_name,cc_sublevel_name,group_label
dim_92,CC,Chemical Checker,92,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_93,CC,Chemical Checker,93,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_94,CC,Chemical Checker,94,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_95,CC,Chemical Checker,95,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_96,CC,Chemical Checker,96,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_97,CC,Chemical Checker,97,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_98,CC,Chemical Checker,98,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_99,CC,Chemical Checker,99,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_100,CC,Chemical Checker,100,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_101,CC,Chemical Checker,101,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_102,CC,Chemical Checker,102,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_103,CC,Chemical Checker,103,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_104,CC,Chemical Checker,104,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_105,CC,Chemical Checker,105,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_106,CC,Chemical Checker,106,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_107,CC,Chemical Checker,107,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_108,CC,Chemical Checker,108,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_109,CC,Chemical Checker,109,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_110,CC,Chemical Checker,110,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
