elementwise_feature,metric,base_feature,space,dimension
cos_elem_848,cosine,dim_848,CC,848
cos_elem_2860,cosine,dim_2860,CC,2860
euc_elem_1289,euclidean,dim_1289,CC,1289
cos_elem_2108,cosine,dim_2108,CC,2108
euc_elem_1278,euclidean,dim_1278,CC,1278
cos_elem_2866,cosine,dim_2866,CC,2866
euc_elem_2585,euclidean,dim_2585,CC,2585
euc_elem_2860,euclidean,dim_2860,CC,2860
euc_elem_2707,euclidean,dim_2707,CC,2707
euc_elem_2286,euclidean,dim_2286,CC,2286
cos_elem_2181,cosine,dim_2181,CC,2181
euc_elem_313,euclidean,dim_313,CC,313
cos_elem_1555,cosine,dim_1555,CC,1555
cos_elem_110,cosine,dim_110,CC,110
euc_elem_2301,euclidean,dim_2301,CC,2301
cos_elem_2412,cosine,dim_2412,CC,2412
cos_elem_347,cosine,dim_347,CC,347
cos_elem_602,cosine,dim_602,CC,602
cos_elem_1685,cosine,dim_1685,CC,1685
cos_elem_2436,cosine,dim_2436,CC,2436
cos_elem_3141,cosine,dim_3141,CC,3141
cos_elem_1933,cosine,dim_1933,CC,1933
cos_elem_2239,cosine,dim_2239,CC,2239
euc_elem_2669,euclidean,dim_2669,CC,2669
cos_elem_1752,cosine,dim_1752,CC,1752
euc_elem_715,euclidean,dim_715,CC,715
euc_elem_775,euclidean,dim_775,CC,775
cos_elem_1532,cosine,dim_1532,CC,1532
cos_elem_2279,cosine,dim_2279,CC,2279
cos_elem_2402,cosine,dim_2402,CC,2402
cos_elem_2411,cosine,dim_2411,CC,2411
euc_elem_2714,euclidean,dim_2714,CC,2714
cos_elem_2286,cosine,dim_2286,CC,2286
cos_elem_3327,cosine,s_127,S,127
cos_elem_917,cosine,dim_917,CC,917
cos_elem_2742,cosine,dim_2742,CC,2742
euc_elem_2461,euclidean,dim_2461,CC,2461
cos_elem_1693,cosine,dim_1693,CC,1693
cos_elem_2634,cosine,dim_2634,CC,2634
cos_elem_892,cosine,dim_892,CC,892
euc_elem_3161,euclidean,dim_3161,CC,3161
euc_elem_1822,euclidean,dim_1822,CC,1822
euc_elem_1282,euclidean,dim_1282,CC,1282
cos_elem_1047,cosine,dim_1047,CC,1047
euc_elem_3240,euclidean,s_40,S,40
euc_elem_2279,euclidean,dim_2279,CC,2279
euc_elem_1642,euclidean,dim_1642,CC,1642
euc_elem_1640,euclidean,dim_1640,CC,1640
euc_elem_2725,euclidean,dim_2725,CC,2725
cos_elem_1508,cosine,dim_1508,CC,1508
cos_elem_653,cosine,dim_653,CC,653
euc_elem_1770,euclidean,dim_1770,CC,1770
cos_elem_659,cosine,dim_659,CC,659
cos_elem_2158,cosine,dim_2158,CC,2158
cos_elem_1582,cosine,dim_1582,CC,1582
euc_elem_2189,euclidean,dim_2189,CC,2189
euc_elem_347,euclidean,dim_347,CC,347
euc_elem_417,euclidean,dim_417,CC,417
euc_elem_2348,euclidean,dim_2348,CC,2348
euc_elem_1632,euclidean,dim_1632,CC,1632
euc_elem_588,euclidean,dim_588,CC,588
cos_elem_507,cosine,dim_507,CC,507
cos_elem_789,cosine,dim_789,CC,789
cos_elem_2937,cosine,dim_2937,CC,2937
cos_elem_1192,cosine,dim_1192,CC,1192
cos_elem_716,cosine,dim_716,CC,716
cos_elem_3116,cosine,dim_3116,CC,3116
cos_elem_1699,cosine,dim_1699,CC,1699
cos_elem_1716,cosine,dim_1716,CC,1716
euc_elem_2450,euclidean,dim_2450,CC,2450
euc_elem_814,euclidean,dim_814,CC,814
euc_elem_110,euclidean,dim_110,CC,110
euc_elem_2407,euclidean,dim_2407,CC,2407
euc_elem_2642,euclidean,dim_2642,CC,2642
cos_elem_2019,cosine,dim_2019,CC,2019
euc_elem_1727,euclidean,dim_1727,CC,1727
euc_elem_2409,euclidean,dim_2409,CC,2409
cos_elem_2450,cosine,dim_2450,CC,2450
cos_elem_1640,cosine,dim_1640,CC,1640
cos_elem_2473,cosine,dim_2473,CC,2473
euc_elem_1510,euclidean,dim_1510,CC,1510
cos_elem_169,cosine,dim_169,CC,169
euc_elem_306,euclidean,dim_306,CC,306
euc_elem_2065,euclidean,dim_2065,CC,2065
euc_elem_2663,euclidean,dim_2663,CC,2663
euc_elem_2104,euclidean,dim_2104,CC,2104
euc_elem_1390,euclidean,dim_1390,CC,1390
euc_elem_2944,euclidean,dim_2944,CC,2944
cos_elem_1931,cosine,dim_1931,CC,1931
cos_elem_436,cosine,dim_436,CC,436
euc_elem_643,euclidean,dim_643,CC,643
euc_elem_414,euclidean,dim_414,CC,414
euc_elem_3227,euclidean,s_27,S,27
cos_elem_2378,cosine,dim_2378,CC,2378
euc_elem_2731,euclidean,dim_2731,CC,2731
euc_elem_2736,euclidean,dim_2736,CC,2736
euc_elem_2033,euclidean,dim_2033,CC,2033
euc_elem_1968,euclidean,dim_1968,CC,1968
euc_elem_1996,euclidean,dim_1996,CC,1996
cos_elem_444,cosine,dim_444,CC,444
euc_elem_2258,euclidean,dim_2258,CC,2258
euc_elem_371,euclidean,dim_371,CC,371
euc_elem_534,euclidean,dim_534,CC,534
euc_elem_2347,euclidean,dim_2347,CC,2347
cos_elem_1390,cosine,dim_1390,CC,1390
euc_elem_2790,euclidean,dim_2790,CC,2790
cos_elem_2510,cosine,dim_2510,CC,2510
cos_elem_2241,cosine,dim_2241,CC,2241
cos_elem_2902,cosine,dim_2902,CC,2902
euc_elem_1933,euclidean,dim_1933,CC,1933
euc_elem_1565,euclidean,dim_1565,CC,1565
euc_elem_2050,euclidean,dim_2050,CC,2050
cos_elem_1822,cosine,dim_1822,CC,1822
cos_elem_466,cosine,dim_466,CC,466
cos_elem_1919,cosine,dim_1919,CC,1919
cos_elem_401,cosine,dim_401,CC,401
cos_elem_3194,cosine,dim_3194,CC,3194
cos_elem_465,cosine,dim_465,CC,465
cos_elem_2026,cosine,dim_2026,CC,2026
cos_elem_919,cosine,dim_919,CC,919
euc_elem_73,euclidean,dim_73,CC,73
euc_elem_144,euclidean,dim_144,CC,144
euc_elem_2403,euclidean,dim_2403,CC,2403
euc_elem_2375,euclidean,dim_2375,CC,2375
euc_elem_2366,euclidean,dim_2366,CC,2366
cos_elem_2180,cosine,dim_2180,CC,2180
cos_elem_672,cosine,dim_672,CC,672
euc_elem_466,euclidean,dim_466,CC,466
cos_elem_1664,cosine,dim_1664,CC,1664
