Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
tobramycin,clarithromycin,NLVFBUXFDBBNBW-PBSUHMDJSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
clarithromycin,mitomycin c,AGOYDEPGAOXOCK-KCBOHYOISA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
nitrofurantoin,clarithromycin,NXFQHRVNIOXGAQ-YCRREMRBSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
clarithromycin,lincomycin,AGOYDEPGAOXOCK-KCBOHYOISA-N,OJMMVQQUTAEWLP-KIDUDLJLSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
clarithromycin,bleomycin,AGOYDEPGAOXOCK-KCBOHYOISA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
clarithromycin,puromycin,AGOYDEPGAOXOCK-KCBOHYOISA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
caffeine,clarithromycin,RYYVLZVUVIJVGH-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
cefsulodin,clarithromycin,SYLKGLMBLAAGSC-QLVMHMETSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
clarithromycin,linezolid,AGOYDEPGAOXOCK-KCBOHYOISA-N,TYZROVQLWOKYKF-ZDUSSCGKSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'TYZROVQLWOKYKF-ZDUSSCGKSA-N')"
cccp,clarithromycin,UGTJLJZQQFGTJD-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')"
spectinomycin,clarithromycin,UNFWWIHTNXNPBV-WXKVUWSESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
