Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
amoxicillin,cefuroxime,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,JFPVXVDWJQMJEE-IZRZKJBUSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
cefuroxime,ciprofloxacin,JFPVXVDWJQMJEE-IZRZKJBUSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
cefuroxime,mitomycin c,JFPVXVDWJQMJEE-IZRZKJBUSA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
cefuroxime,ticagrelor,JFPVXVDWJQMJEE-IZRZKJBUSA-N,OEKWJQXRCDYSHL-FNOIDJSQSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'OEKWJQXRCDYSHL-FNOIDJSQSA-N')"
cefuroxime,lincomycin,JFPVXVDWJQMJEE-IZRZKJBUSA-N,OJMMVQQUTAEWLP-KIDUDLJLSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
cefuroxime,puromycin,JFPVXVDWJQMJEE-IZRZKJBUSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
cefuroxime,linezolid,JFPVXVDWJQMJEE-IZRZKJBUSA-N,TYZROVQLWOKYKF-ZDUSSCGKSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'TYZROVQLWOKYKF-ZDUSSCGKSA-N')"
cccp,cefuroxime,UGTJLJZQQFGTJD-UHFFFAOYSA-N,JFPVXVDWJQMJEE-IZRZKJBUSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')"
benzalkonium,cefuroxime,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,JFPVXVDWJQMJEE-IZRZKJBUSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
cefuroxime,chloramphenicol,JFPVXVDWJQMJEE-IZRZKJBUSA-N,WIIZWVCIJKGZOK-RKDXNWHRSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
cefuroxime,egcg,JFPVXVDWJQMJEE-IZRZKJBUSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
cefuroxime,tedizolid,JFPVXVDWJQMJEE-IZRZKJBUSA-N,XFALPSLJIHVRKE-GFCCVEGCSA-N,"('JFPVXVDWJQMJEE-IZRZKJBUSA-N', 'XFALPSLJIHVRKE-GFCCVEGCSA-N')"
penicillin g,sulfamethoxazol,JGSARLDLIJGVTE-MBNYWOFBSA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'JLKIGFTWXXRPMT-UHFFFAOYSA-N')"
amoxicillin,penicillin g,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
a22,penicillin g,LZTCFLDZLBOLDW-UHFFFAOYSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'LZTCFLDZLBOLDW-UHFFFAOYSA-N')"
azithromycin,penicillin g,MQTOSJVFKKJCRP-BICOPXKESA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
ciprofloxacin,penicillin g,MYSWGUAQZAJSOK-UHFFFAOYSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
penicillin g,mitomycin c,JGSARLDLIJGVTE-MBNYWOFBSA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
nitrofurantoin,penicillin g,NXFQHRVNIOXGAQ-YCRREMRBSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
lincomycin,penicillin g,OJMMVQQUTAEWLP-KIDUDLJLSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
cefaclor,penicillin g,QYIYFLOTGYLRGG-GPCCPHFNSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
penicillin g,puromycin,JGSARLDLIJGVTE-MBNYWOFBSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
cefsulodin,penicillin g,SYLKGLMBLAAGSC-QLVMHMETSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
erythromycin,penicillin g,ULGZDMOVFRHVEP-RWJQBGPGSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
oxacillin,penicillin g,UWYHMGVUTGAWSP-JKIFEVAISA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')"
metronidazole,penicillin g,VAOCPAMSLUNLGC-UHFFFAOYSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'VAOCPAMSLUNLGC-UHFFFAOYSA-N')"
estradiol,penicillin g,VOXZDWNPVJITMN-ZBRFXRBCSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'VOXZDWNPVJITMN-ZBRFXRBCSA-N')"
benzalkonium,penicillin g,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
chloramphenicol,penicillin g,WIIZWVCIJKGZOK-RKDXNWHRSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
egcg,penicillin g,WMBWREPUVVBILR-WIYYLYMNSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
aztreonam,penicillin g,WZPBZJONDBGPKJ-VEHQQRBSSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
fosfomycin,penicillin g,YMDXZJFXQJVXBF-STHAYSLISA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
penicillin g,pyocyanin,JGSARLDLIJGVTE-MBNYWOFBSA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
cephalexin,penicillin g,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'ZAIPMKNFIOOWCQ-UEKVPHQBSA-N')"
azithromycin,sulfamethoxazol,MQTOSJVFKKJCRP-BICOPXKESA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
sulfamethoxazol,ticagrelor,JLKIGFTWXXRPMT-UHFFFAOYSA-N,OEKWJQXRCDYSHL-FNOIDJSQSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'OEKWJQXRCDYSHL-FNOIDJSQSA-N')"
lincomycin,sulfamethoxazol,OJMMVQQUTAEWLP-KIDUDLJLSA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
spectinomycin,sulfamethoxazol,UNFWWIHTNXNPBV-WXKVUWSESA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
metronidazole,sulfamethoxazol,VAOCPAMSLUNLGC-UHFFFAOYSA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'VAOCPAMSLUNLGC-UHFFFAOYSA-N')"
benzalkonium,sulfamethoxazol,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
sulfamethoxazol,tedizolid,JLKIGFTWXXRPMT-UHFFFAOYSA-N,XFALPSLJIHVRKE-GFCCVEGCSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'XFALPSLJIHVRKE-GFCCVEGCSA-N')"
fosfomycin,sulfamethoxazol,YMDXZJFXQJVXBF-STHAYSLISA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('JLKIGFTWXXRPMT-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
clindamycin,rifampicin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
rifampicin,telithromycin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,LJVAJPDWBABPEJ-PNUFFHFMSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LJVAJPDWBABPEJ-PNUFFHFMSA-N')"
amikacin,rifampicin,LKCWBDHBTVXHDL-RMDFUYIESA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amoxicillin,rifampicin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
a22,rifampicin,LZTCFLDZLBOLDW-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LZTCFLDZLBOLDW-UHFFFAOYSA-N')"
procaine,rifampicin,MFDFERRIHVXMIY-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
rifampicin,azithromycin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
vanillin,rifampicin,MWOOGOJBHIARFG-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'MWOOGOJBHIARFG-UHFFFAOYSA-N')"
ciprofloxacin,rifampicin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
tobramycin,rifampicin,NLVFBUXFDBBNBW-PBSUHMDJSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
mitomycin c,rifampicin,NWIBSHFKIJFRCO-WUDYKRTCSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
nitrofurantoin,rifampicin,NXFQHRVNIOXGAQ-YCRREMRBSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
rifampicin,ticagrelor,JQXXHWHPUNPDRT-WLSIYKJHSA-N,OEKWJQXRCDYSHL-FNOIDJSQSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'OEKWJQXRCDYSHL-FNOIDJSQSA-N')"
rifampicin,bleomycin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
rifampicin,puromycin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
rifampicin,caffeine,JQXXHWHPUNPDRT-WLSIYKJHSA-N,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
cefsulodin,rifampicin,SYLKGLMBLAAGSC-QLVMHMETSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
rifampicin,streptomycin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,UCSJYZPVAKXKNQ-HZYVHMACSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'UCSJYZPVAKXKNQ-HZYVHMACSA-N')"
cccp,rifampicin,UGTJLJZQQFGTJD-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')"
erythromycin,rifampicin,ULGZDMOVFRHVEP-RWJQBGPGSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
rifampicin,spectinomycin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,UNFWWIHTNXNPBV-WXKVUWSESA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
rifampicin,curcumin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
oritavancin,rifampicin,VHFGEBVPHAGQPI-LXKZPTCJSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'VHFGEBVPHAGQPI-LXKZPTCJSA-N')"
chloramphenicol,rifampicin,WIIZWVCIJKGZOK-RKDXNWHRSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
egcg,rifampicin,WMBWREPUVVBILR-WIYYLYMNSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
sulfamonomethoxine,rifampicin,WMPXPUYPYQKQCX-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WMPXPUYPYQKQCX-UHFFFAOYSA-N')"
polymyxin b,rifampicin,WQVJHHACXVLGBL-BPJDFBQWSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
minocycline,rifampicin,WTJXVDPDEQKTCV-VQAITOIOSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
rifampicin,aztreonam,JQXXHWHPUNPDRT-WLSIYKJHSA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
rifampicin,metformin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
novobiocin,rifampicin,YJQPYGGHQPGBLI-KGSXXDOSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
rifampicin,colistin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
fosfomycin,rifampicin,YMDXZJFXQJVXBF-STHAYSLISA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
rifampicin,streptozotocin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'ZSJLQEPLLKMAKR-GKHCUFPYSA-N')"
rifampicin,imipenem,JQXXHWHPUNPDRT-WLSIYKJHSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
clindamycin,telithromycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,LJVAJPDWBABPEJ-PNUFFHFMSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'LJVAJPDWBABPEJ-PNUFFHFMSA-N')"
amikacin,clindamycin,LKCWBDHBTVXHDL-RMDFUYIESA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amoxicillin,clindamycin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
clindamycin,thymol,KDLRVYVGXIQJDK-AWPVFWJPSA-N,MGSRCZKZVOBKFT-UHFFFAOYSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'MGSRCZKZVOBKFT-UHFFFAOYSA-N')"
clindamycin,pseudomonic acid,KDLRVYVGXIQJDK-AWPVFWJPSA-N,MINDHVHHQZYEEK-HBBNESRFSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'MINDHVHHQZYEEK-HBBNESRFSA-N')"
ciprofloxacin,clindamycin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
clindamycin,tobramycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
clindamycin,mitomycin c,KDLRVYVGXIQJDK-AWPVFWJPSA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
clindamycin,nitrofurantoin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
clindamycin,lincomycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,OJMMVQQUTAEWLP-KIDUDLJLSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
clindamycin,bleomycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
caffeine,clindamycin,RYYVLZVUVIJVGH-UHFFFAOYSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
clindamycin,linezolid,KDLRVYVGXIQJDK-AWPVFWJPSA-N,TYZROVQLWOKYKF-ZDUSSCGKSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'TYZROVQLWOKYKF-ZDUSSCGKSA-N')"
cccp,clindamycin,UGTJLJZQQFGTJD-UHFFFAOYSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')"
clindamycin,erythromycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
spectinomycin,clindamycin,UNFWWIHTNXNPBV-WXKVUWSESA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
clindamycin,oxacillin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,UWYHMGVUTGAWSP-JKIFEVAISA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')"
clindamycin,metronidazole,KDLRVYVGXIQJDK-AWPVFWJPSA-N,VAOCPAMSLUNLGC-UHFFFAOYSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'VAOCPAMSLUNLGC-UHFFFAOYSA-N')"
benzalkonium,clindamycin,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
chloramphenicol,clindamycin,WIIZWVCIJKGZOK-RKDXNWHRSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
clindamycin,egcg,KDLRVYVGXIQJDK-AWPVFWJPSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
polymyxin b,clindamycin,WQVJHHACXVLGBL-BPJDFBQWSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
clindamycin,aztreonam,KDLRVYVGXIQJDK-AWPVFWJPSA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
clindamycin,tedizolid,KDLRVYVGXIQJDK-AWPVFWJPSA-N,XFALPSLJIHVRKE-GFCCVEGCSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'XFALPSLJIHVRKE-GFCCVEGCSA-N')"
clindamycin,tolfenamic,KDLRVYVGXIQJDK-AWPVFWJPSA-N,YEZNLOUZAIOMLT-UHFFFAOYSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'YEZNLOUZAIOMLT-UHFFFAOYSA-N')"
clindamycin,novobiocin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,YJQPYGGHQPGBLI-KGSXXDOSSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
clindamycin,fosfomycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
clindamycin,pyocyanin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
cephalexin,clindamycin,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'ZAIPMKNFIOOWCQ-UEKVPHQBSA-N')"
mitomycin c,omeprazole,NWIBSHFKIJFRCO-WUDYKRTCSA-N,KWORUUGOSLYAGD-UHFFFAOYSA-N,"('KWORUUGOSLYAGD-UHFFFAOYSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
