elementwise_feature,metric,base_feature,space,dimension
cos_elem_2843,cosine,dim_2843,CC,2843
cos_elem_577,cosine,dim_577,CC,577
cos_elem_908,cosine,dim_908,CC,908
euc_elem_1827,euclidean,dim_1827,CC,1827
euc_elem_3000,euclidean,dim_3000,CC,3000
cos_elem_1098,cosine,dim_1098,CC,1098
cos_elem_1863,cosine,dim_1863,CC,1863
euc_elem_1822,euclidean,dim_1822,CC,1822
cos_elem_2795,cosine,dim_2795,CC,2795
euc_elem_2957,euclidean,dim_2957,CC,2957
euc_elem_463,euclidean,dim_463,CC,463
euc_elem_2897,euclidean,dim_2897,CC,2897
euc_elem_2944,euclidean,dim_2944,CC,2944
cos_elem_384,cosine,dim_384,CC,384
cos_elem_1284,cosine,dim_1284,CC,1284
euc_elem_2891,euclidean,dim_2891,CC,2891
cos_elem_2609,cosine,dim_2609,CC,2609
euc_elem_1544,euclidean,dim_1544,CC,1544
euc_elem_2575,euclidean,dim_2575,CC,2575
cos_elem_1642,cosine,dim_1642,CC,1642
euc_elem_2587,euclidean,dim_2587,CC,2587
euc_elem_1511,euclidean,dim_1511,CC,1511
euc_elem_2375,euclidean,dim_2375,CC,2375
cos_elem_2473,cosine,dim_2473,CC,2473
euc_elem_1996,euclidean,dim_1996,CC,1996
cos_elem_2838,cosine,dim_2838,CC,2838
cos_elem_1340,cosine,dim_1340,CC,1340
cos_elem_917,cosine,dim_917,CC,917
cos_elem_974,cosine,dim_974,CC,974
euc_elem_2903,euclidean,dim_2903,CC,2903
euc_elem_1816,euclidean,dim_1816,CC,1816
cos_elem_311,cosine,dim_311,CC,311
euc_elem_711,euclidean,dim_711,CC,711
euc_elem_3097,euclidean,dim_3097,CC,3097
cos_elem_2155,cosine,dim_2155,CC,2155
euc_elem_1049,euclidean,dim_1049,CC,1049
cos_elem_1796,cosine,dim_1796,CC,1796
euc_elem_2569,euclidean,dim_2569,CC,2569
euc_elem_2543,euclidean,dim_2543,CC,2543
cos_elem_3240,cosine,s_40,S,40
euc_elem_2494,euclidean,dim_2494,CC,2494
cos_elem_3236,cosine,s_36,S,36
cos_elem_204,cosine,dim_204,CC,204
euc_elem_1045,euclidean,dim_1045,CC,1045
cos_elem_2538,cosine,dim_2538,CC,2538
euc_elem_998,euclidean,dim_998,CC,998
cos_elem_1035,cosine,dim_1035,CC,1035
euc_elem_2446,euclidean,dim_2446,CC,2446
euc_elem_1133,euclidean,dim_1133,CC,1133
euc_elem_1723,euclidean,dim_1723,CC,1723
euc_elem_2463,euclidean,dim_2463,CC,2463
euc_elem_1596,euclidean,dim_1596,CC,1596
euc_elem_169,euclidean,dim_169,CC,169
cos_elem_3199,cosine,dim_3199,CC,3199
euc_elem_907,euclidean,dim_907,CC,907
euc_elem_731,euclidean,dim_731,CC,731
cos_elem_1582,cosine,dim_1582,CC,1582
cos_elem_109,cosine,dim_109,CC,109
cos_elem_3186,cosine,dim_3186,CC,3186
euc_elem_917,euclidean,dim_917,CC,917
euc_elem_741,euclidean,dim_741,CC,741
euc_elem_3195,euclidean,dim_3195,CC,3195
euc_elem_723,euclidean,dim_723,CC,723
euc_elem_925,euclidean,dim_925,CC,925
euc_elem_3217,euclidean,s_17,S,17
euc_elem_3242,euclidean,s_42,S,42
cos_elem_800,cosine,dim_800,CC,800
euc_elem_1439,euclidean,dim_1439,CC,1439
cos_elem_169,cosine,dim_169,CC,169
cos_elem_1633,cosine,dim_1633,CC,1633
euc_elem_2461,euclidean,dim_2461,CC,2461
cos_elem_1583,cosine,dim_1583,CC,1583
euc_elem_3315,euclidean,s_115,S,115
euc_elem_881,euclidean,dim_881,CC,881
euc_elem_1659,euclidean,dim_1659,CC,1659
cos_elem_3172,cosine,dim_3172,CC,3172
euc_elem_2019,euclidean,dim_2019,CC,2019
