feature,importance_gain_mean,importance_gain_std
euc_elem_1152,57.82379040122032,42.93861246628006
euc_elem_3014,57.440850055217744,30.48762912319997
euc_elem_1316,57.37178241610527,22.25310594016557
cos_elem_669,57.270369845628736,24.702563204264138
cos_elem_1525,57.08325711786747,41.85692477479306
cos_elem_144,57.00378366708755,28.743909253028583
euc_elem_998,56.935419178009035,53.80797840907897
euc_elem_3242,56.663457782566546,22.64586812537595
euc_elem_1547,56.48930969536305,32.88084549814415
cos_elem_1880,56.354990458488466,23.853479293007496
euc_elem_144,56.349935720860955,33.21402923425463
euc_elem_789,56.21597211360931,33.142656261551366
cos_elem_2882,55.972434031963346,28.550526534558045
cos_elem_2931,55.833453273773195,31.428131716259422
euc_elem_715,55.820468759536745,23.18540863939554
euc_elem_2287,55.5693354010582,46.20468460770868
euc_elem_1296,55.39628254175186,37.57964470817687
cos_elem_834,55.23399467468262,41.29383723543985
cos_elem_202,55.21774627566337,37.581961166202774
euc_elem_1031,55.19783709049225,23.422273461062485
euc_elem_1752,55.13407728075981,54.05042458717848
cos_elem_1064,55.07375760674476,50.22311283155101
euc_elem_2093,54.922329264879224,59.33133878579638
euc_elem_2158,54.80645616203547,19.954743705246266
euc_elem_1732,54.33150769174099,42.649642008419846
euc_elem_140,54.30132709145546,21.78385800061936
euc_elem_493,53.92784820497036,18.778911142066956
cos_elem_1321,53.601371586322784,21.586597002383375
cos_elem_2010,53.564384889602664,30.957265629967914
cos_elem_2278,53.53722752332688,21.236790185049323
euc_elem_2743,53.52130976319313,53.348653768640396
cos_elem_2892,53.451453083753584,31.44696625092842
euc_elem_3300,53.353580912947656,42.852503822312926
euc_elem_204,53.040090256929396,44.48003200131748
cos_elem_175,52.998068577051164,25.540880565757686
cos_elem_1996,52.75100873708725,33.67503506902643
euc_elem_3016,52.67232133448124,17.470637300780634
euc_elem_809,52.6336583584547,15.268144442353648
euc_elem_133,52.54155911803245,21.758293989498554
euc_elem_3097,52.23375688195229,32.87392681047712
euc_elem_967,52.21643244028091,41.65209258916591
cos_elem_2473,52.18024694919586,29.641645997205952
euc_elem_2957,52.12343775629997,41.78720822017297
euc_elem_3157,52.115482318401334,18.481926878967336
cos_elem_3303,51.98496854901314,65.36566349118469
cos_elem_1031,51.95596356987953,17.0049241586675
euc_elem_269,51.94731102585793,42.45325890741871
cos_elem_3016,51.89978223145008,41.666154367814116
euc_elem_1495,51.87551600337029,15.234375266819496
euc_elem_401,51.72831749916077,22.999420052599344
cos_elem_1565,51.62839692234993,32.7028941285388
cos_elem_780,51.56256418228149,36.00043674477179
cos_elem_1809,51.49278021603823,14.312908428497733
cos_elem_2402,51.42882597446442,39.613473710891505
euc_elem_2637,50.89734838604927,26.821404859354057
euc_elem_1900,50.86619628667832,7.607810090890186
