feature,importance_split,importance_gain,importance_gain_norm
euc_elem_1488,14.4,50.12764557600021,0.000941977716561828
euc_elem_1666,10.8,50.06947673559189,0.000940884632080535
cos_elem_1550,15.6,50.018051439523695,0.000939918269459526
cos_elem_1458,22.2,50.00598765015602,0.0009396915717834021
euc_elem_982,13.6,49.747341972589496,0.0009348312105605052
euc_elem_731,15.8,49.74010283350945,0.0009346951756914796
cos_elem_1908,14.2,49.675736951828,0.0009334856390066007
euc_elem_1657,21.2,49.55306930691004,0.0009311805200103245
cos_elem_790,12.8,49.5231453359127,0.000930618201282871
cos_elem_2419,16.6,49.513725692033766,0.0009304411912811056
cos_elem_1565,13.4,49.27592887282371,0.0009259726130705942
cos_elem_1158,18.2,49.261018097400665,0.000925692416025156
cos_elem_2470,11.0,49.249201238155365,0.0009254703585564496
cos_elem_55,16.4,48.98420291543007,0.0009204906210869324
euc_elem_204,14.6,48.87970471680164,0.000918526934713919
cos_elem_2007,16.2,48.86870884001255,0.0009183203048036099
euc_elem_2957,16.4,48.70467281639576,0.0009152378085645603
euc_elem_1900,20.4,48.65593072324991,0.0009143218675688405
euc_elem_2902,20.2,48.29777922034263,0.0009075916345603845
euc_elem_2523,15.6,48.17786377966404,0.0009053382338332414
euc_elem_90,10.6,48.173045106232166,0.0009052476833407127
cos_elem_2287,15.8,48.05421979278326,0.0009030147678278018
euc_elem_556,19.0,47.836422356963155,0.0008989220096519607
euc_elem_3038,15.8,47.6888702750206,0.0008961492727395225
euc_elem_3088,13.6,47.686353743076324,0.0008961019831254327
euc_elem_814,15.6,47.669428476691245,0.0008957839306097317
euc_elem_564,13.4,47.657937264442445,0.0008955679925629658
cos_elem_812,17.8,47.61066531836987,0.0008946796779551839
cos_elem_110,22.2,47.59070676863193,0.0008943046252493965
euc_elem_1943,18.2,47.56730705499649,0.0008938649076331942
euc_elem_21,13.4,47.46884196698666,0.0008920145929475795
cos_elem_1752,17.6,47.02088222503662,0.0008835967211328348
cos_elem_2804,10.4,46.6364735737443,0.0008763730747913773
euc_elem_2489,21.8,46.49536260068417,0.0008737213764987959
euc_elem_1693,13.4,46.45921575427055,0.0008730421201033607
cos_elem_2278,19.8,46.26702616363764,0.0008694305738268283
euc_elem_2084,18.2,46.247735381126404,0.000869068069523029
euc_elem_439,11.4,45.79858014285564,0.0008606277324422338
euc_elem_576,16.2,45.64168684482574,0.0008576794593102354
cos_elem_2324,11.4,45.567226061224936,0.0008562802234573695
cos_elem_1395,7.2,45.5322045147419,0.0008556221132268274
cos_elem_2799,14.8,45.470585817098616,0.0008544642004735637
euc_elem_1172,16.0,45.46665111035109,0.0008543902611126624
cos_elem_1738,8.0,44.986824467778206,0.0008453735598508594
euc_elem_1269,23.2,44.86736392080784,0.0008431287072957208
euc_elem_2474,12.0,44.56476292014122,0.0008374423560545657
cos_elem_109,19.4,44.52877551317215,0.0008367660957783812
euc_elem_2587,11.2,44.516155084967615,0.000836528937978418
euc_elem_2341,10.6,44.38858246803284,0.0008341316468027563
euc_elem_154,12.0,44.34507039189339,0.0008333139860957008
cos_elem_1567,18.0,44.324710714817044,0.0008329313955730075
euc_elem_3186,20.0,44.23535453677177,0.0008312522517076096
euc_elem_2882,14.6,43.90522193014622,0.0008250485380606109
euc_elem_2019,17.2,43.85573001503944,0.0008241185067247112
euc_elem_1542,11.8,43.851930321753024,0.0008240471044802123
cos_elem_834,14.4,43.81116165816784,0.0008232809968326264
cos_elem_2543,16.4,43.77713272869587,0.0008226415394451365
cos_elem_2819,17.2,43.524869456887245,0.000817901113717572
cos_elem_816,20.4,43.51846853047609,0.0008177808301898824
euc_elem_3157,18.6,43.50617493987083,0.0008175498141851684
euc_elem_3101,14.4,43.23704934567213,0.0008124925187590889
cos_elem_2028,17.4,43.21871918439865,0.0008121480660471732
cos_elem_2838,13.2,43.19065867066384,0.0008116207646279714
euc_elem_313,16.4,43.04138957262039,0.0008088157622682449
