Drug A,Drug B,Strain,Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
ampicillin,cefotaxime,escherichia coli mg1655,1.16,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
ampicillin,gentamicin,pseudomonas aeruginosa pa14,1.9,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,pseudomonas aeruginosa,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')"
ampicillin,ciprofloxacin,pseudomonas aeruginosa pa14,1.72,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,pseudomonas aeruginosa,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
ampicillin,cefotaxime,pseudomonas aeruginosa pa14,1.78,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,pseudomonas aeruginosa,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
ampicillin,gentamicin,staphylococcus aureus atcc29213,1.08,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')"
ampicillin,ciprofloxacin,staphylococcus aureus atcc29213,1.79,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
ampicillin,cefotaxime,staphylococcus aureus atcc29213,1.11,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
ampicillin,ciprofloxacin,acinetobacter baumannii,0.97,Additivity,FICI,32845920,AVKUERGKIZMTKX-NJBDSQKTSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
ampicillin,levofloxacin,acinetobacter baumannii,1.34,Indifferent,FICI,32845920,AVKUERGKIZMTKX-NJBDSQKTSA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')"
ampicillin,ciprofloxacin,acinetobacter baumannii atcc baa-1710,2,Indifferent,FICI,33972678,AVKUERGKIZMTKX-NJBDSQKTSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
ampicillin,nalidixic acid,acinetobacter baumannii atcc baa-1710,2,Indifferent,FICI,33972678,AVKUERGKIZMTKX-NJBDSQKTSA-N,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'MHWLWQUZZRMNGJ-UHFFFAOYSA-N')"
ampicillin,rifampicin,escherichia coli bw25113,-1,Synergy,Loewe,26956793,AVKUERGKIZMTKX-NJBDSQKTSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')"
ampicillin,aztreonam,escherichia coli bw25113,-0.99,Synergy,Loewe,26956793,AVKUERGKIZMTKX-NJBDSQKTSA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,escherichia coli,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
ampicillin,gentamicin,listeria monocytogenes atcc51774,0.37,Synergy,FICI,19291208,AVKUERGKIZMTKX-NJBDSQKTSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')"
azithromycin,rifabutin,haemophilus ducreyi 35000,0.75,Additivity,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,ATEBXHFBFRCZMA-VXTBVIBXSA-N,nan,"('ATEBXHFBFRCZMA-VXTBVIBXSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
azithromycin,rifabutin,haemophilus ducreyi ro34,1.08,Indifferent,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,ATEBXHFBFRCZMA-VXTBVIBXSA-N,nan,"('ATEBXHFBFRCZMA-VXTBVIBXSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
azithromycin,rifabutin,haemophilus ducreyi ro40,0.69,Additivity,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,ATEBXHFBFRCZMA-VXTBVIBXSA-N,nan,"('ATEBXHFBFRCZMA-VXTBVIBXSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
